,enmo,n,mg,temp,batt,light
2026-08-30 23:42:00,0.0,1482,0.0,34.55528846153846,4.125450721153846,195.23076923076923
2026-08-30 23:43:00,0.0,1509,0.0,34.5947265625,4.12548828125,195.0
2026-08-30 23:44:00,0.00021585136211589768,1482,0.21585136211589767,34.6435546875,4.1259765625,195.16666666666666
2026-08-30 23:45:00,0.0,1482,0.0,34.66796875,4.125,195.0
2026-08-30 23:46:00,0.0,1507,0.0,34.8388671875,4.125,195.08333333333334
2026-08-30 23:47:00,0.0,1482,0.0,34.9609375,4.125,195.0
2026-08-30 23:48:00,0.0,1482,0.0,34.9609375,4.125,195.0
2026-08-30 23:49:00,0.0,1505,0.0,34.98347355769231,4.125,194.84615384615384
2026-08-30 23:50:00,0.0,1482,0.0,35.05859375,4.12548828125,195.0
2026-08-30 23:51:00,0.0,1506,0.0,35.107421875,4.125,194.91666666666666
2026-08-30 23:52:00,0.0004152133158469398,1481,0.4152133158469398,35.16376201923077,4.1259014423076925,194.92307692307693
2026-08-30 23:53:00,0.012194526121560745,1482,12.194526121560745,34.9853515625,4.125,194.83333333333334
2026-08-30 23:54:00,0.014365662487081961,1505,14.365662487081961,35.00600961538461,4.125,195.0
2026-08-30 23:55:00,0.01586713054874018,1482,15.867130548740178,35.0830078125,4.12646484375,195.0
2026-08-30 23:56:00,0.014803292952025347,1497,14.803292952025346,35.07361778846154,4.125,194.92307692307693
2026-08-30 23:57:00,0.01468935007781357,1490,14.68935007781357,35.2294921875,4.125,194.91666666666666
2026-08-30 23:58:00,0.014591839645084788,1482,14.591839645084788,35.25390625,4.125,195.08333333333334
2026-08-30 23:59:00,0.0138784649042196,1505,13.8784649042196,35.27644230769231,4.125,194.92307692307693
2026-08-31 00:00:00,0.013848669775594052,1480,13.848669775594052,35.3515625,4.12548828125,195.0
2026-08-31 00:01:00,0.01468934979686612,1480,14.689349796866122,35.50180288461539,4.125,194.92307692307693
2026-08-31 00:02:00,0.015116692386635476,1505,15.116692386635476,35.5224609375,4.125,195.0
2026-08-31 00:03:00,0.015181547392968404,1482,15.181547392968405,35.52433894230769,4.125,194.69230769230768
2026-08-31 00:04:00,0.005010045884127764,1503,5.010045884127765,35.5712890625,4.125,195.0
2026-08-31 00:05:00,0.0,1480,0.0,35.6201171875,4.125,194.91666666666666
2026-08-31 00:06:00,6.5089621220656166e-06,1478,0.006508962122065616,35.68209134615385,4.125,195.0
2026-08-31 00:07:00,9.154361604879221e-06,1505,0.009154361604879221,35.791015625,4.125,194.91666666666666
2026-08-31 00:08:00,3.2802948112859404e-05,1478,0.0328029481128594,35.83984375,4.125,194.84615384615384
2026-08-31 00:09:00,0.0005238815334665267,1503,0.5238815334665268,35.8642578125,4.125,194.83333333333334
2026-08-31 00:10:00,0.0,1478,0.0,36.0107421875,4.125,194.75
2026-08-31 00:11:00,0.0,1503,0.0,36.11027644230769,4.125450721153846,194.53846153846155
2026-08-31 00:12:00,0.0,1478,0.0,36.1328125,4.125,194.75
2026-08-31 00:13:00,0.0,1501,0.0,36.1572265625,4.125,194.83333333333334
2026-08-31 00:14:00,0.0007596375314637376,1478,0.7596375314637376,36.29056490384615,4.125,194.6153846153846
2026-08-31 00:15:00,0.0005722681840646813,1476,0.5722681840646813,36.2548828125,4.125,194.91666666666666
2026-08-31 00:16:00,0.0,1503,0.0,36.20042067307692,4.125,194.69230769230768
2026-08-31 00:17:00,0.0,1478,0.0,36.1328125,4.125,194.66666666666666
2026-08-31 00:18:00,0.0,1503,0.0,35.99759615384615,4.125,195.0
2026-08-31 00:19:00,0.0,1478,0.0,35.9130859375,4.12548828125,194.83333333333334
2026-08-31 00:20:00,0.0,1505,0.0,35.83984375,4.125,194.83333333333334
2026-08-31 00:21:00,0.0,1478,0.0,35.77223557692308,4.125,195.0
2026-08-31 00:22:00,0.0,1480,0.0,35.64453125,4.125,195.0
2026-08-31 00:23:00,0.0,1503,0.0,35.59194711538461,4.125,194.92307692307693
